127.0.0.1, 2015-06-25 09:41:16, GET, /, HTTP/1.1, 303, 0.005448
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.256880
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000499
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000441
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000477
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001533
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002838
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002170
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002802
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001415
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001255
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000498
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000483
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000473
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001068
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000918
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001661
127.0.0.1, 2015-06-25 09:41:17, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000459
127.0.0.1, 2015-06-25 09:42:24, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.028013
127.0.0.1, 2015-06-25 09:42:57, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.044159
127.0.0.1, 2015-06-25 09:43:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.028052
127.0.0.1, 2015-06-25 09:43:12, GET, /admin/default/index, HTTP/1.1, 200, 0.086847
127.0.0.1, 2015-06-25 09:43:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2015-06-25 09:43:27, GET, /, HTTP/1.1, 303, 0.000333
